ticker,cleaned_tweet,senti_label,date
TSLA,"bulls have facts on their side while short have fallacy, Fantasy and lack of knowledge on their side. The final round of short squeeze is coming soon, so stay tune ..,",bullish,2020-01-04
TSLA,"Squeal like a pig, Chanos! Squeal like a pig!!",bullish,2020-01-06
NFLX,336 test to possibly test 340s tomorrow ALL DAY mentions since open,bullish,2020-01-06
TSLA,shorts thought they are making a quick and easy bet.....hahhaha,bullish,2020-01-06
TSLA,if you had only listened bears...,bullish,2020-01-06
TSLA,Once again $TSLA keeps roasting the shorts,bullish,2020-01-06
AAPL,"once hits 300 today, needs another 100 points to reach 400 like that smart gentleman said on CNBC this am",bullish,2020-01-06
AAPL,it’s just too funny and easy to laugh at bears at this point. Why don’t you guys do something useful like find a good job so you can afford to buy Apple instead of just posting jealous hate and looking like a,bullish,2020-01-06
AMZN,I hope we can come close to touching 2000 either tomorrow or Wednesday,bullish,2020-01-06
TSLA,"yep, especially put buyers and call chasers oof",bullish,2020-01-07
AAPL,who is ready to open tomorrow at $290. It’s time,bearish,2020-01-07
AAPL,Green by morning my ass!! Y’all should have taken profits,bearish,2020-01-07
TSLA,we’ll it’s not BYND mane it’s not too late to buy just maybe,bullish,2020-01-07
NVDA,looks like noone is here today lol all the money to me,bullish,2020-01-07
TSLA,1-5 moves until the spike is healthy melt up. Weak hand shakes and new cubs so let her dancing Elon did a greater pressure everyday to bigbear no matter how PPS moves boxed in,bullish,2020-01-07
TSLA,Yes! 460 already looking cheap,bullish,2020-01-07
BA,heh. Would you look at that future good thing it's for next week bork,bullish,2020-01-07
PYPL,Back Over $120 where this belongs,bullish,2020-01-07
TSLA,Bears just got gapped and trapped!!,bullish,2020-01-07
AMZN,CONGRATS TO ALL THE LONG - there were some trying times but our patience IS being rewarded- lots more to come,bullish,2020-01-07
TSLA,these bears constantly post old a$$ pics of crashed Tesla’s hahahahaha. Have you not learned yet I’m pretty sure your account learned by now Hope you readyyyy for what’s next,bullish,2020-01-07
FB,stop selling!! My $215 weekly calls are getting wrecked!,bullish,2020-01-07
TSLA,BUT BUTT WW3? Screw the sink this stock has had the whole house thrown at it and still goes up. You bears are real s,bullish,2020-01-07
TSLA,Congratulations to Elon and SpaceX for another successful drone ship landing. ...the man is in the zone!!,bullish,2020-01-07
FB,"Finally gapped up. Took a year and half to do it, but f’ck it feels good. Long and strong . Let’s keep this train moving. Still has some more to go before I’ll even consider selling my calls of any of my shares.",bullish,2020-01-07
TSLA,should i do a search of all the mark this post from the bear shorts that have been fried the last month?,bullish,2020-01-07
TSLA,wow jpm with a whole $20,bullish,2020-01-07
DIS,"Just keep falling, just keep falling, just keep falling falling falling. What does DIS do all month? Falling falling falling -Dory",bearish,2020-01-07
AAPL,Bears Shorts Later Today,bullish,2020-01-07
TSLA,Top of the channel $485 believe it,bullish,2020-01-07
BA,Stocks usually look bearish until they don’t lol. BA BA BOOM,bullish,2020-01-07
WMT,I would of thought $WMT would have got hit a little harder with that 54.6 million dollar lawsuit they just lost for not paying their drivers.,bearish,2020-01-07
TSLA,"bears I say, you really do have some good points, and you’re right this may pull back, but why would you get in front of this right now? Or over the last month? There’s other opportunities out there even for your hateful selves",bullish,2020-01-07
TSLA,$470 by open tomorrow. Get your electric rocket ships ready we going to the moon,bullish,2020-01-07
TSLA,have only 2000$ im not going far with this at this point,bullish,2020-01-07
TSLA,man I can't wait till the day Tesla start paying out dividends... once that announcement happens the stock will explode before the Ex-date,bullish,2020-01-07
TSLA,head fake w more short covering.,bullish,2020-01-07
DIS,Since July 2019 DIS has gone up 0 I’m guessing it will continue going sideways,bearish,2020-01-08
TSLA,this needs a pullback back to 350$ so I can load Lol,bullish,2020-01-08
AAPL,with all time highs again the market seems to enjoy war very much,bearish,2020-01-08
TSLA,I think we ready for that $510 ride Tesla. Yes we are ready. We got our seatbelts on,bullish,2020-01-08
BA,"Of course there were technical problems behind this crash, just like the other two! How many more planes have to crash before this company gets banned for good?",bearish,2020-01-08
TSLA,For years Kind of going nowhere.. Now the most loved company in the world,bullish,2020-01-08
TSLA,this is WILD. And I’m loving every bit of it,bullish,2020-01-08
BABA,"yeez guys, dont sell off now ... this dragon has just started to fly",bullish,2020-01-08
TSLA,"remember all the mark my words, $433 was the top comments? I remember",bullish,2020-01-08
AAPL,hahaha many bears buying putsell. Strong strong but we wanna see 305 before close hahaha,bullish,2020-01-08
AAPL,What makes bulls believe that Terrorist will stop launching rockets,bearish,2020-01-08
TSLA,"i thought $500 by end of week, not middle of week",bullish,2020-01-08
TSLA,people seem to have forgotten about the energy business,bullish,2020-01-08
AAPL,short term people need to pull some off the table with all uncertainty floating around. This is just dicey,bearish,2020-01-08
TSLA,who’s making tendies missed this run,bullish,2020-01-08
TSLA,Bwahahaha there isn’t a thing capable of stopping this train,bullish,2020-01-08
TSLA,grabbed a $500 call and flipped it for over 100. Paid for my loser put and then some. Rolled over to a $515. Let’s keep the party going.,bullish,2020-01-08
TSLA,"I just took profits and resized my position a few days ago, soon I’ll be doing it again.",bullish,2020-01-08
DIS,"small piece of advice, if you’re long calls, turning them into spreads before close really helps reduce risk. Then you can close the short leg out in the morning, usually for a profit when things are starting to look bullish again",bullish,2020-01-08
TSLA,"Bullish AF to the mewn, but that 15 point bubble-pop drop last night was not a good feeling while holding calls bork",bullish,2020-01-08
TSLA,wow it's great to wake up to this! This is going to open at 475 and maybe hit 500 today!!!,bullish,2020-01-08
TSLA,if this takes a big dip tomorrow morning I’m closing all my hedges and rolling my $525k of sub $300 strike Jan 17 calls up to $400 strike calls... bring it on,bullish,2020-01-08
TSLA,another target raised to $556 wow. When the dust settles this will,bullish,2020-01-08
AAPL,maybe dan Ives at Wedbush can reimburse all you chasers for your losses. Or maybe not,bearish,2020-01-08
TSLA,"Oh yeah, was that yesterday? 30 point run. Give me $489!",bullish,2020-01-08
AAPL,buy 300 call easy money,bearish,2020-01-08
TSM,...we will definitely close at $59 today.,bullish,2020-01-08
TSLA,remember this? Now it seems like a distant memory... 2 weeks ago,bullish,2020-01-08
TSLA,bunch of cocaine and two chicks at the same time,bullish,2020-01-08
SBUX,following through nicely as shown in yesterday’s tweets.,bullish,2020-01-09
V,people Shopped Non stop during the holiday season and now Gas stations in US requires all pumps to upgrade to pay by Credit cards ....Now you can tell where VISA is heading too ...easy 220,bullish,2020-01-09
TSLA,500 eod no worries,bullish,2020-01-09
TSLA,Waiting for that hot moist reversal,bullish,2020-01-09
AAPL,time to take a breather,bullish,2020-01-09
TSLA,who else bought the dip,bullish,2020-01-09
TSLA,the market is giving away money rn and bears refuse it. They prefer the path of greatest resistance.,bullish,2020-01-09
DIS,down 0.27 pretty much the expected daily return,bearish,2020-01-09
TSLA,so happy I don't have to get Elon tatted on me Tomorrow hit 500 sweet cheeks,bullish,2020-01-09
TSLA,ahh it’s gonna be another good day tomorrow if the futures keep ripping,bullish,2020-01-09
TSLA,Did Elon do another dance today?..cause I love it when he dances..such a good dancer!,bullish,2020-01-09
TSLA,how I wish I didn't sell at $470!,bullish,2020-01-09
AAPL,"again, shorts gonna buy put and sells, scared traders gonna take profit and selling sharescalls if thats gonna happen, BUY THE DIPS! HOLD AND GO LONG! BUY NEW CAR OR WHAT EVER! End with 310-315 this week end next week",bullish,2020-01-09
TSLA,Little dip to lure them in then BOOM $505,bullish,2020-01-09
AMZN,Now it’s moving with the market,bearish,2020-01-09
TSLA,Tesla shorts waiting on the market to open this morning ... $TSLA,bullish,2020-01-09
DIS,Can anyone here name me a potential 1B or more movie that they have on their slate for release this year?!?,bearish,2020-01-09
TSLA,Puts the art in fart,bullish,2020-01-09
FB,looks likes she’s going to run tomorrow she’s lagged and broke out yesterday,bullish,2020-01-09
AAPL,nice to look at my account today and see my shares up over 100 and climbing.,bullish,2020-01-09
SBUX,"I drink enough coffee, I’m investing",bullish,2020-01-09
TSLA,"looking like no 470 today, feel good about getting there tomorrow",bearish,2020-01-09
FB,VERY NICE GAINS TODAY.... thank you Gotta run.... can’t be greedy right? GLTA!!!!! Hope you guys get to 220,bullish,2020-01-09
AAPL,Apple is going to keep on Running! Undervalued,bullish,2020-01-09
TSLA,Funny How Bulls were thinking 500 then they got a reality check today,bearish,2020-01-09
AAPL,thanks bears! ATH. 50 profit on calls overnight,bullish,2020-01-10
TSLA,5 yr Chart! When a stock doubles in less than 2 months it's a good idea to ring the register or get slammed.,bearish,2020-01-10
TSLA,reminds me of yesterday’s PM. Just sayin’,bearish,2020-01-10
NVDA,i love when I’m right,bullish,2020-01-10
BA,new CEO already cleaning out the dirty laundry $340,bullish,2020-01-10
TSLA,TSLA Puts and AAPL Calls,bearish,2020-01-10
BA,BOEING is a bear proof stock.,bullish,2020-01-10
BA,that email leaked was a huge nothing burger,bullish,2020-01-10
TSLA,haven’t you ever heard? Short the first red day on big volume,bearish,2020-01-10
TSLA,if it drops to 420 I might buy a Tesla car with the profits,bearish,2020-01-10
BA,HAHAHA What did I tell you? This is trash!,bearish,2020-01-10
TSLA,The steepening of this move has me licking my chops for some bull,bearish,2020-01-10
NFLX,Morningstar’s fair value estimate is $135,bearish,2020-01-10
TSLA,good morning longs. How are those purchases near 500 looking now? BAHAHA,bearish,2020-01-10
TSLA,is very overvalued. Drops like a rock soon,bearish,2020-01-10
BA,is there any clown than this man,bullish,2020-01-10
AAPL,all those called getting burnt,bullish,2020-01-10
TSLA,making money love to short this pig,bearish,2020-01-10
TSLA,If your stock needs the CEO to tap dance instead of actually making a profit maybe you joined a cult. $TSLA,bearish,2020-01-10
TSLA,ouch honestly it will bounce back next week hope I can take a position,bearish,2020-01-10
TSLA,Ruh Roh bulls...this is not looking good,bearish,2020-01-10
TSLA,Suddenly bulls are not so sure anymore... say hello to $450 sooner than you think,bearish,2020-01-10
TSLA,"i think in honor of elon... all the bears need to throw out the memes, and we all post our own snaps wearing short shorts . on next drop",bearish,2020-01-10
DIS,"So many perma-bulls ... wake up, this isn’t moving until earnings.",bearish,2020-01-10
BA,about to explode Keep shorting please,bullish,2020-01-10
AAPL,"Gene Munster Once a Top Professional Analyst, now a Venture Capitalist. Must be doing something right",bullish,2020-01-10
BABA,hold your shares ! Next week Chinese delegation in US for treaty signing,bullish,2020-01-10
AMZN,I want to buy CALLS for next week but this Iran issued are not over ...,bullish,2020-01-10
BABA,Trading at 75 dollars discount at least,bullish,2020-01-10
AAPL,"i missed something.. Was whole day off, i couldn't buy anything. But i see bulls are fine! 330 after earnings! Go shortlongterms! Have a great weekend",bullish,2020-01-10
AAPL,pre-game Apple AirPods and Apple Beats everywhere on these players.,bullish,2020-01-11
BA,you pumpers are hilarious! Going to 400$..... like the Max problems never happened,bearish,2020-01-11
AAPL,waiting for a new dip tu buy,bullish,2020-01-12
AAPL,hoping for a small 1-2$ pullback at open Monday to load them calls for Friday,bullish,2020-01-12
TSLA,when do i buy?? Waaaaaa,bullish,2020-01-13
TSLA,Big tip in last month!,bullish,2020-01-13
AAPL,has been undervalued for a long time and they are blowing out all the numbers with the IPhone 11 $320 today or tomorrow .,bullish,2020-01-13
AAPL,no need to panic we know where we’re going!,bullish,2020-01-13
TSM,broke resistance held over $60 should rally now into earnings,bullish,2020-01-13
AAPL,"Let the dip happen... remember spy options are about to expire today, let the dip happen first before we execute more calls... just a friendly bull letting you know whats up... were going to be filthy rich by the end of the week",bullish,2020-01-13
TSLA,And to say I was underwater on Friday is an understatement. Did not know these would be worth 50k in a day.,bullish,2020-01-13
BABA,excited for HK open today hehehe. Congrats again to all us bulls here May we continue to be prosperous,bullish,2020-01-13
TSLA,"just to be fair, this was one of the MANY warnings I gave the bears in the low $200 high $100 range.",bullish,2020-01-13
BAC,C'mon $BAC my bird needs to eat. I'm running low on laundry detergent and tired of eating canned tuna for the 14th week straight. Give me my money!,bullish,2020-01-13
TSLA,too good to be true but $600 After ER,bullish,2020-01-13
TSLA,so which analyst is gonna come out next and upgrade to a buy imagine a 80 buy rating after earnings,bullish,2020-01-13
TSLA,bringing my profile back to life thank you Elon,bullish,2020-01-13
TSLA,to the fooooookin moon i ALMOST feel bad for the bears,bullish,2020-01-13
TSLA,i try hard not to laugh at you,bullish,2020-01-13
AAPL,Still way undervalued. Looking forward to the next ER!,bullish,2020-01-13
DIS,don’t fall for it you know what happens next,bearish,2020-01-14
TSLA,Realistically I think ER COULD go either way.. I’m thinking of a straddle mostly bearish though because revenue could be abit low.. however straddles will print. Looking forward to our 570 victory tomorrow! See you at the top bulls!,bullish,2020-01-14
TSLA,oooh..you almost had it shorts,bullish,2020-01-14
TSLA,About to squeeze above high of day$ 550s,bullish,2020-01-14
TSLA,so one can imagine CNBC hosts are with zero knowledge in technology,bullish,2020-01-14
AAPL,who bought the dip today,bullish,2020-01-14
TSLA,"locked in with small position 124 weekly calls I caught after the dip this am. Y’all know what that ah and pm action looks like , but trade with some dd imo",bullish,2020-01-14
DIS,the film 1917 made more than Star Wars this past weekend. Star Wars and Frozen 2 not even nominated for the Oscars,bearish,2020-01-14
TSLA,wants to dance . Up and down ..... either into close we will see $550 or tommorow morning,bullish,2020-01-14
TSLA,shorts selling to shorts....like a hot potato,bullish,2020-01-14
XOM,Just keep adding under $70!,bullish,2020-01-14
UNH,this is actually gonna go in to red before earnings,bearish,2020-01-14
TSLA,Short or long here.... that is the question.,bullish,2020-01-14
BA,still negative in this position but holding on tight and patiently waiting for its time in the 500s!!,bullish,2020-01-14
DIS,Hey u know what I just bought Puts to see if I might make up my call losses,bearish,2020-01-14
TSLA,there you had your dip... cover,bullish,2020-01-14
TSLA,$612 target now let gap and go baby,bullish,2020-01-14
AAPL,Don’t say wait u didn’t tell me lol over 100,bullish,2020-01-14
TSLA,That's right Cramer keep pumping I love it,bullish,2020-01-14
AMZN,"dec. 24th, 31st, and Jan 7th were all gap up days...last 3Tuesdays....let’s hope today is the 4th",bullish,2020-01-14
TSLA,looking at my inflated account like the wheels on a Tesla mobile...,bullish,2020-01-14
BA,"designed by supervised by ’s... I’m a Boeing fan, but this needs a flush to 260 before it can heal.",bullish,2020-01-14
TSLA,Rising strong on China News! Nice!!,bullish,2020-01-14
BABA,could be some short term hooplah here at the 230's? Anyone's guess!! Would be nice though to get a wittle dip,bullish,2020-01-14
AAPL,wow!! unbelievable this thing is trying to reach the stars lol,bullish,2020-01-14
TSLA,Ridiculous. 600 by Friday at this rate,bullish,2020-01-14
BABA,bought at $80. Sell time or run?,bullish,2020-01-14
TSM,"is a winner. Every 5G phone will have a more advanced semi conductor then what’s in phones now. 5G is going to huge over 4G. TSM is going to be selling to everybody, phones, gamers, cars, medical and on an on. I think we enjoy the ride",bullish,2020-01-14
AAPL,lmao there it is!! Bye bye AAPL!!,bearish,2020-01-14
BA,"told myself to stay away but that dip in the morning was way too tempting, thanks to whoever bought puts at the bottom this morning",bullish,2020-01-14
AAPL,Guess that FED pumping is over for them now.,bearish,2020-01-15
TSLA,"woof, Tesla bears being fed today.",bearish,2020-01-15
AAPL,Here’s a glimpse at ER. Y’all are done!!,bearish,2020-01-15
TSLA,This company doesn't produce a profit and relies on government handouts yet you guys wanna buy for $500,bearish,2020-01-15
TSLA,holding puts that are already up so unless this opens up $15 I’ll still be in the money,bearish,2020-01-15
AAPL,Liu clearly stated a lot of IFS in his speech. China will buy 50 billion in ag IF China will buy this and that only IF,bearish,2020-01-15
AAPL,someone’s either selling the pops and unloading a huge position last couple days or a whale short is hammering the price action,bearish,2020-01-15
BA,will you just capitulate already?!,bearish,2020-01-15
TSLA,was this the hundred dollar drop dem bears said was gonna happen today? Hahahahaha,bullish,2020-01-15
DIS,"where would this be without download numbers news and yet another upgrade ? frustration continues. Hard to trade, easy to keep long.",bullish,2020-01-15
TSLA,I’m long bullish but I rather not have Elon get 346million richer keep that money in the company until end of the year,bullish,2020-01-15
AAPL,"is amazing, the best! But these evaluations folks.....",bearish,2020-01-15
BAC,time to grab some calls,bullish,2020-01-15
TSLA,i thought we were gonna see the 400s,bullish,2020-01-15
TSLA,my calls are for next week No worries,bullish,2020-01-15
AAPL,poor sales for their gadgets at target stores lol,bearish,2020-01-15
TSLA,uh oh! Looks like this is the day this epic run comes to a grinding halt and falls off a Cliff. What are you thinking bears? Down 1 or 2 today?,bullish,2020-01-15
TSLA,"NIO funding secured, means electric vehicles are in demand in China. But means more competition for Tesla. How to digest this?",bullish,2020-01-15
TSLA,go back to your old job sell $515 target,bearish,2020-01-15
TSLA,don’t worry guys I’m sure it won’t fall far. it’s only 140 points over the 50 day moving average and 240 over the 200 day moving average,bearish,2020-01-15
AAPL,no one buying this bs but the fed and Apple. So hope you bulls get some buy backs soon!!,bearish,2020-01-15
SBUX,"TPO alot of volume at 91.74, thats after a strong run up...",bearish,2020-01-15
TSLA,"oh no, down 1.0 Why didn't I listen to you bears?! errrrrrrrrrrrrrrrrrrr Elon",bullish,2020-01-15
TSLA,come on Bulls! Buy the dip!!,bearish,2020-01-15
TSLA,can we get a last gasp parabolic spike up to $600 or $700 before this garbage dies? Please?,bearish,2020-01-16
TSLA,sub 500 will be juicy,bearish,2020-01-16
MSFT,load up and hold give it 2 months 180$ is your target,bullish,2020-01-16
TSLA,you may have a gambling problem if you’re buying here. do as you wish,bearish,2020-01-16
TSLA,"who called the top here ? When everybody thought was crazy. Me moFos, me !",bearish,2020-01-16
TSLA,don’t worry guys still only 110 points from the 50 day. I’m sure there is some support somewhere down there,bearish,2020-01-16
TSLA,"Dont be GREEDY get out of Tesla while you are in profits...Anything which goes up crazy in short time, will have to come down..dont feel bad later",bearish,2020-01-16
TSLA,red waterfalls again at support break .... Morgan Stanley $360,bearish,2020-01-16
AAPL,I guess it’s time to readjust my screen cuz I can’t see where it’s stopped to.,bearish,2020-01-16
BA,Fishy fishy stuff going on here. Well we all know when BA gets bad news it goes up lol load up on them calls guys.,bearish,2020-01-16
TSLA,open this under 500 let’s see some fireworks,bearish,2020-01-16
TSLA,"Head, Shoulders, knees and toes",bearish,2020-01-16
TSLA,Break below 497 expect a massive drop today. As much as I enjoyed the ride up with you bulls let’s scalp,bearish,2020-01-16
TSLA,the bulls yesterday were like the bitconnect guy...,bearish,2020-01-16
AMZN,"we still have 5mins, we can still sho9t up $30!!",bullish,2020-01-16
TSLA,why would anyone hold this rn,bearish,2020-01-16
TSLA,where are all of the Robin Hood rookies at ?,bearish,2020-01-16
TSLA,"could drop 20 in the next two days that bring US to a Pt of 414,44$ by friday evening",bearish,2020-01-16
TSLA,the fight bw bulls and bears is unreal this might settle at 500ish eod,bearish,2020-01-16
TSLA,Big drop today. Less Bullshit talk I can imagine. Healthy pullback,bearish,2020-01-16
TSLA,buy the dip they said it will be fun they said you ill make money they said...lmfao,bearish,2020-01-16
TSLA,what a bull trap that was. They pulled the rug right before AH ends,bearish,2020-01-16
TSLA,maybe hold off and buy the dip next month,bearish,2020-01-16
AAPL,Anyone here happen to be holding $300 Puts ?,bearish,2020-01-16
V,some stocks are set it and forget it stocks and this happens to be 1 of them! Add when it dips and keep it trucking!,bullish,2020-01-16
DIS,$143 at open and then $142 at close my Puts will be juicy!!,bearish,2020-01-16
AAPL,beautiful stair step pattern continuing with eventual resolution to the upside. Stock still cheap forward looking and earnings are gonna be .,bullish,2020-01-17
TSLA,YOU ARE ALL SO FUCKED,bearish,2020-01-17
DIS,"Got impatient. Back in for the ride. Leaving plenty of dry powder, if it goes down further.",bullish,2020-01-17
DIS,hoping for a $146 spike tomorrow praying those baby yoda action figures sell out first day,bullish,2020-01-17
TSLA,second day with bearish gaap!,bearish,2020-01-17
TSLA,Something I love to do is scanning for highest weekly flow 10 Minutes before close. Always get some beautiful runners,bearish,2020-01-17
DIS,Can we get one morning without a dump?,bullish,2020-01-17
V,Institutions are buying and you are selling ... for the cheap shares in few years 200 will look darn cheap .....put your $$$ in my pocket,bullish,2020-01-17
TSLA,Investigation coming... I’m out! Will wait for a lower entry point! Good luck to you all! Very good profit so far,bearish,2020-01-17
TSLA,maybe a dump before the long weekend?,bearish,2020-01-17
TSLA,Quick.. everyone to the other side of the ship,bearish,2020-01-17
TSLA,All aboard the tank train,bearish,2020-01-17
BA,"alright, here comes the real grand finale! ThereWillBeBlood",bearish,2020-01-17
TSLA,get ready to make an appointment to get in line for your appointment to fix issues Tesla owners,bearish,2020-01-17
TSLA,anyone believes it’ll hit 496$ today ??,bearish,2020-01-17
MSFT,What’s everyone’s PT for open on Tuesday?,bullish,2020-01-17
AAPL,s r speechless n has reached a new level of insanity super,bullish,2020-01-17
TSLA,"fib level broke, going back to $492. If that breaks we can see $480 today",bearish,2020-01-17
TSLA,"What, you thought unprofitable $TSLA was just going to go up and up forever?",bearish,2020-01-17
GOOGL,just print 1480!!!!!! Please,bullish,2020-01-17
BA,ok this is what I’ve been waiting for close it on up bulls so I can grab some more puts on a discount.,bearish,2020-01-17
DIS,Stocks hit record highs simply means DIS is dipping,bearish,2020-01-17
AAPL,They really hate $AAPL in this 317 area,bullish,2020-01-17
BA,$320 and your will be tested soon! When’s the 737 Max redesign coming out?,bearish,2020-01-17
DIS,"if it finishes here in an hour, then I correctly predicted two closes in a row.",bullish,2020-01-17
BA,everyone wanting in better get in. The earnings are figured into these levels.,bullish,2020-01-17
TSLA,what happened to all those intolerantbulls who are attacking anyone with a negative view on trashlacoin? I guess they are busy figuring out what to do after losing a huge bundle today,bearish,2020-01-17
BA,offer more for that delta and I'll buy 50 more puts,bearish,2020-01-17
TSLA,where Tf are my telsa bulls?,bearish,2020-01-17
TSLA,"my advice, short every pop on this overbought",bearish,2020-01-18
TSLA,". Have a good weekend everyone. Time will tell where this goes, but I like the action right now. It needs a correction before earnings.",bearish,2020-01-18
TSLA,"480 450 420 400 who’s fault is it when these number show up near term lambos bruh $6,000 next week bruh",bearish,2020-01-18
TSLA,"Sry bulls. Gap down Tuesday, sell off below 492",bearish,2020-01-18
NFLX,"booked a week earlier, ER scares me",bullish,2020-01-18
TSLA,down 6$ afterhours right now,bearish,2020-01-18
AAPL,ready to get my down payment for my house next week,bearish,2020-01-19
AAPL,loaded puts on this one for post earnings collapse !!!,bearish,2020-01-19
TSLA,about to start up again!,bullish,2020-01-21
AAPL,bulls believing every day green,bearish,2020-01-21
BA,dont miss the next leg,bearish,2020-01-21
TSLA,might really run to 600,bullish,2020-01-21
BA,$175 price target 2020 all aboard!!!! PUTS are on fire,bearish,2020-01-21
BA,open 300 its incoming all big money go ah rats run in dark,bearish,2020-01-21
TSLA,Shorts kinda left us...I think they went to BA. Much weaker than we are.,bullish,2020-01-21
AMZN,new all-time high coming this week. It’s time.,bullish,2020-01-21
BA,You made me so much money today I could kiss you.,bearish,2020-01-21
AMZN,sooooo we’re going to the moon right,bullish,2020-01-21
TSLA,"Yup, she’s flying straight up... no more warnings of production hell, no more pedo guy distractions, no more blunts... obvious short...",bullish,2020-01-22
NFLX,good morning everyone. Happy trading,bearish,2020-01-22
TSLA,tweet from Ross Gerber. Cool one,bullish,2020-01-22
TSLA,the bears are boxed in every bull from small to big knows this. Elon as well news and earnings very close stay focused,bullish,2020-01-22
TSLA,"I haven’t confirmed w multiple sources, but this is gold. Donnie T on Elon in a CNBC interview ...he’s also doing the rockets. He likes rockets. And he does good at rockets too...",bullish,2020-01-22
TSLA,thank you shorts for every single penny,bullish,2020-01-22
BA,a ton of institutional players gone,bearish,2020-01-22
TSLA,"OMG, I'm here for the salty tears of bears",bullish,2020-01-22
TSLA,WHOS READY FOR ROUND 2.,bullish,2020-01-22
BA,can someone tell me why they haven’t downgraded this garbage yet $265,bearish,2020-01-22
MSFT,Was about to jump in earlier at 166.66 for a quick day trade but was occupied by a meeting at work. first time I’m thankful for a meeting being in the way of my day trading,bearish,2020-01-22
TSLA,short this when we are seeing major disruption as we speak? It would be like shorting standard oil 100 years ago,bullish,2020-01-22
BA,Stooopid company run by MORONS with no moral scruples ... short to $0.99,bearish,2020-01-22
NFLX,"sooo if 360 doesn't work, let's live to trade another day!",bearish,2020-01-22
BA,Did the analyst on fast money really just recommend changing the name of the 737 Max.. because that's not unethical at all.,bearish,2020-01-22
TSLA,"I never saw where the engines come down with no wings, no anything, and they’re landing -Drumpf",bullish,2020-01-22
TSLA,"good job bears! Almost made it a red day for tsla, better luck next time",bullish,2020-01-22
MSFT,"why is it selling?!? We got an upgrade this morning, 10th day with an upgrade in a row!!",bearish,2020-01-22
BA,ready for the next leg down,bearish,2020-01-22
BA,Jun July fly date at 1 billion a month,bearish,2020-01-22
BA,the bounce has allowed me to add another short position,bearish,2020-01-22
BA,don’t buy bulls... let it find it’s bottom under 300... until then tho...,bearish,2020-01-22
TSLA,Bull Flag breakout now.... poor bears.,bullish,2020-01-22
TSLA,"working so well, hold strong",bullish,2020-01-22
BA,ughhhh I feel dirty purchasing this...,bearish,2020-01-22
TSLA,how much of this float is still short?!,bullish,2020-01-22
BA,i was really surprise at how they were able to pump almost 300million into this garbage yesterday right after the halt just so it wont burn and crash like their planes but for how long are they going to be able to hold before,bearish,2020-01-22
GOOG,A close above 1500 would be sweet,bullish,2020-01-22
NFLX,love when they lie to kill shorts so they can short,bearish,2020-01-22
